run_id,environment_id,source_commit,classification,suite,layer,algorithm,operation,payload_profile,message_bytes,iteration,warmup_iterations,wall_ns,cpu_ns,max_rss_bytes,valid,result,work_units,item_count,public_key_bytes,private_key_bytes,signature_bytes,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,notes
local-1786750141063597000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,aegis_domain_wrapper_block,ML-DSA-65,verify_tampered_signature,vote192,192,0,0,119333,123000,48758784,true,rejected,1,0,0,0,3309,0,0,0,0,0,domain=SYNERGY_BLOCK_V1
local-1786750141063597000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,medium256,256,0,1,421583,417000,48775168,true,domain_signature_generated,1,0,0,0,3309,0,0,0,0,0,domain=SYNERGY_BLOCK_V1
local-1786750141063597000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,medium256,256,0,1,122459,126000,48775168,true,accepted_cache_miss,1,0,0,0,3309,0,0,0,0,0,domain=SYNERGY_BLOCK_V1; policy checks + transcript hash + bounded worker + primitive
local-1786750141063597000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_hit,medium256,256,0,1,11250,12000,48775168,true,accepted_cache_hit,1,0,0,0,3309,0,0,0,0,0,domain=SYNERGY_BLOCK_V1; policy checks + transcript hash + positive cache
local-1786750141063597000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,aegis_domain_wrapper_block,ML-DSA-65,verify_tampered_signature,medium256,256,0,0,126333,129000,48775168,true,rejected,1,0,0,0,3309,0,0,0,0,0,domain=SYNERGY_BLOCK_V1
local-1786750141063597000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,transaction512,512,0,1,247125,247000,48775168,true,domain_signature_generated,1,0,0,0,3309,0,0,0,0,0,domain=SYNERGY_BLOCK_V1
local-1786750141063597000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,transaction512,512,0,1,133208,143000,48775168,true,accepted_cache_miss,1,0,0,0,3309,0,0,0,0,0,domain=SYNERGY_BLOCK_V1; policy checks + transcript hash + bounded worker + primitive
local-1786750141063597000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_hit,transaction512,512,0,1,11667,12000,48775168,true,accepted_cache_hit,1,0,0,0,3309,0,0,0,0,0,domain=SYNERGY_BLOCK_V1; policy checks + transcript hash + positive cache
local-1786750141063597000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,aegis_domain_wrapper_block,ML-DSA-65,verify_tampered_signature,transaction512,512,0,0,111791,115000,48775168,true,rejected,1,0,0,0,3309,0,0,0,0,0,domain=SYNERGY_BLOCK_V1
local-1786750141063597000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,kilobyte1024,1024,0,1,276209,277000,48791552,true,domain_signature_generated,1,0,0,0,3309,0,0,0,0,0,domain=SYNERGY_BLOCK_V1
