run_id,environment_id,source_commit,classification,sample_recorded_unix_ns,suite,layer,algorithm,operation,payload_profile,message_bytes,iteration,warmup_iterations,wall_ns,cpu_ns,max_rss_bytes,valid,result,work_units,item_count,public_key_bytes,private_key_bytes,signature_bytes,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,notes
cold-51264-1786752606801989000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752606802800000,cold_start,fresh_process_aegis,ML-DSA-65,first_signer_initialize,transaction512,512,4,0,804667,806000,6455296,true,initialized,1,0,0,0,0,0,0,0,0,0,includes the process-local required ML-DSA-65 smoke check
cold-51264-1786752606801989000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752606802953000,cold_start,fresh_process_aegis,ML-DSA-65,first_keygen_register,transaction512,512,4,0,147416,148000,6471680,true,registered,1,0,1952,0,0,0,0,0,0,0,ML-DSA-65 key generation plus Aegis lifecycle registration
cold-51264-1786752606801989000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752606803162000,cold_start,fresh_process_aegis,ML-DSA-65,first_domain_sign,transaction512,512,4,0,204750,205000,6471680,true,signed,1,0,1952,0,3309,0,0,0,0,0,first production-domain signature after initialization
cold-51264-1786752606801989000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752606803207000,cold_start,fresh_process_aegis,ML-DSA-65,first_verifier_initialize,transaction512,512,4,0,40417,53000,6651904,true,initialized,1,0,1952,0,0,0,0,0,0,0,includes the process-local required verifier smoke check and registry clone
cold-51264-1786752606801989000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752606803396000,cold_start,fresh_process_aegis,ML-DSA-65,first_domain_verify,transaction512,512,4,0,183625,212000,6881280,true,accepted_cache_miss,1,0,1952,0,3309,0,0,0,0,0,first production-domain verification after verifier initialization
cold-51264-1786752606801989000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752606803607000,cold_start,fresh_process_aegis,ML-DSA-65,second_domain_sign,transaction512,512,4,0,205542,206000,6897664,true,signed,1,0,1952,0,3309,0,0,0,0,0,warm process-local domain signature
cold-51264-1786752606801989000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752606803781000,cold_start,fresh_process_aegis,ML-DSA-65,second_domain_verify,transaction512,512,4,0,169291,173000,7045120,true,accepted_cache_miss,1,0,1952,0,3309,0,0,0,0,0,warm process-local cache-miss verification
