classification,run_directory,environment_id,source_commit,workers,offered_concurrency,n,median_burst_wall_ms,p95_burst_wall_ms,p99_burst_wall_ms,median_accepted_verifications,median_saturated_verifications,median_verification_ops_per_second,p95_verification_ops_per_second,saturation_fraction,unexpected_error_fraction,throughput_tps,notes
MEASURED,publication-m2-20260815-v1,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,2,128,100,17.008854,17.57775865,19.277672500000016,66.0,62.0,3860.9561627007834,3936.519056821749,0.48765625,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-m2-20260815-v1,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,1,100,0.15370850000000003,0.17574795,0.20671476000000008,1.0,0.0,6505.838224905224,6715.000354319992,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-m2-20260815-v1,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,2,100,0.181604,0.23332885,0.24765875000000004,2.0,0.0,11012.974607890043,11694.03427373921,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-m2-20260815-v1,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,4,100,0.2744995,0.3386545,0.3579915,4.0,0.0,14571.975874005991,16789.47420671598,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-m2-20260815-v1,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,8,100,0.7327295,0.90771845,1.0259144900000003,8.0,0.0,10918.20178015047,13890.65017567596,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-m2-20260815-v1,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,16,100,2.449229,3.15085865,3.352505920000043,16.0,0.0,6532.930390108129,8758.132227041799,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-m2-20260815-v1,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,64,100,16.283125,16.56114585,16.61411458,64.0,0.0,3930.4494947320372,4685.279073659437,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-m2-20260815-v1,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,65,100,16.5907285,16.9465104,17.195273,65.0,0.0,3917.850866106406,4014.2125595538346,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-m2-20260815-v1,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,4,128,100,17.637083,18.27957885,19.04567899,66.0,62.0,3720.5543865107657,3808.561572742074,0.486796875,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,1,100,0.1775005,0.25449375,0.3551810100000017,1.0,0.0,5633.788193814462,7026.47209767983,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,2,100,0.275042,0.3147851,0.3498825,2.0,0.0,7271.616698540586,7722.878781284381,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,4,100,0.5353335,0.5774,0.6245563400000002,4.0,0.0,7471.978152584325,7848.387111082627,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,8,100,1.046396,1.1064395500000002,1.1341595800000002,8.0,0.0,7645.289167028621,8004.642254254121,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,16,100,2.4113125,3.0783931,3.23319366,16.0,0.0,6635.747516265426,8024.977105078796,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,64,100,16.141812,16.53373335,16.72526375,64.0,0.0,3964.8596724211966,4578.817728609908,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-load-m2-20260815-v2,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,65,100,16.453271,16.68015835,16.77564801,65.0,0.0,3950.582241678906,4013.9863915442265,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
