run_id,environment_id,source_commit,classification,sample_recorded_unix_ns,suite,layer,algorithm,operation,payload_profile,message_bytes,iteration,warmup_iterations,wall_ns,cpu_ns,max_rss_bytes,valid,result,work_units,item_count,public_key_bytes,private_key_bytes,signature_bytes,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,notes
local-1786752604326628000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752604327821000,lifecycle,aegis_key_registry,ML-DSA-65,public_key_lookup,registry1,0,17,10,167,0,7077888,true,found,1,0,1952,0,0,0,0,0,0,0,
local-1786752604326628000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752604327822000,lifecycle,aegis_key_registry,ML-DSA-65,role_authorization_check,registry1,0,17,10,42,0,7077888,true,authorized,1,0,0,0,0,0,0,0,0,0,
local-1786752604326628000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752604327824000,lifecycle,aegis_key_registry,ML-DSA-65,active_key_check,registry1,0,17,10,42,0,7077888,true,active,1,0,0,0,0,0,0,0,0,0,
local-1786752604326628000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752604327826000,lifecycle,aegis_key_registry,ML-DSA-65,revocation_check,registry1,0,17,10,41,0,7077888,true,not_revoked,1,0,0,0,0,0,0,0,0,0,
local-1786752604326628000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752604327827000,lifecycle,aegis_key_registry,ML-DSA-65,public_key_lookup,registry1,0,18,10,167,0,7077888,true,found,1,0,1952,0,0,0,0,0,0,0,
local-1786752604326628000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752604327829000,lifecycle,aegis_key_registry,ML-DSA-65,role_authorization_check,registry1,0,18,10,42,2000,7077888,true,authorized,1,0,0,0,0,0,0,0,0,0,
local-1786752604326628000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752604327831000,lifecycle,aegis_key_registry,ML-DSA-65,active_key_check,registry1,0,18,10,42,0,7077888,true,active,1,0,0,0,0,0,0,0,0,0,
local-1786752604326628000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752604327832000,lifecycle,aegis_key_registry,ML-DSA-65,revocation_check,registry1,0,18,10,41,0,7077888,true,not_revoked,1,0,0,0,0,0,0,0,0,0,
local-1786752604326628000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752604327834000,lifecycle,aegis_key_registry,ML-DSA-65,public_key_lookup,registry1,0,19,10,166,2000,7077888,true,found,1,0,1952,0,0,0,0,0,0,0,
local-1786752604326628000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752604327836000,lifecycle,aegis_key_registry,ML-DSA-65,role_authorization_check,registry1,0,19,10,41,0,7077888,true,authorized,1,0,0,0,0,0,0,0,0,0,
local-1786752604326628000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752604327838000,lifecycle,aegis_key_registry,ML-DSA-65,active_key_check,registry1,0,19,10,42,0,7077888,true,active,1,0,0,0,0,0,0,0,0,0,
local-1786752604326628000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752604327839000,lifecycle,aegis_key_registry,ML-DSA-65,revocation_check,registry1,0,19,10,41,0,7077888,true,not_revoked,1,0,0,0,0,0,0,0,0,0,
