algorithm,public_key_bytes,private_key_bytes,signature_bytes_min,signature_bytes_max,ciphertext_bytes,shared_secret_bytes
FN-DSA-1024,1793,2305,1259,1278,,
HQC-256,7245,7317,,,14421,64
ML-DSA-65,1952,4032,3309,3309,,
ML-DSA-87,2592,4896,4627,4627,,
ML-KEM-1024,1568,3168,,,1568,32
SLH-DSA-SHAKE-128f-simple,32,64,17088,17088,,
