run_id,environment_id,source_commit,classification,suite,layer,algorithm,operation,payload_profile,message_bytes,iteration,warmup_iterations,wall_ns,cpu_ns,max_rss_bytes,valid,result,public_key_bytes,private_key_bytes,signature_bytes,ciphertext_bytes,shared_secret_bytes,notes
local-1786748198143003000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,aegis_domain_wrapper,ML-DSA-65,verify_tampered_signature,transaction512,512,0,0,122500,126000,47972352,true,rejected,0,0,3309,0,0,domain=SYNERGY_BLOCK_V1
local-1786748198143003000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,sign_domain,block4096,4096,0,1,212166,207000,47988736,true,domain_signature_generated,0,0,3309,0,0,domain=SYNERGY_BLOCK_V1
local-1786748198143003000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,verify_cache_miss,block4096,4096,0,1,141083,144000,47988736,true,accepted_cache_miss,0,0,3309,0,0,domain=SYNERGY_BLOCK_V1; policy checks + transcript hash + bounded worker + primitive
local-1786748198143003000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,verify_cache_hit,block4096,4096,0,1,17625,18000,47988736,true,accepted_cache_hit,0,0,3309,0,0,domain=SYNERGY_BLOCK_V1; policy checks + transcript hash + positive cache
local-1786748198143003000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,aegis_domain_wrapper,ML-DSA-65,verify_tampered_signature,block4096,4096,0,0,138167,141000,47988736,true,rejected,0,0,3309,0,0,domain=SYNERGY_BLOCK_V1
local-1786748198143003000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,sign_domain,large16384,16384,0,1,257500,258000,48037888,true,domain_signature_generated,0,0,3309,0,0,domain=SYNERGY_BLOCK_V1
local-1786748198143003000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,verify_cache_miss,large16384,16384,0,1,191167,195000,48054272,true,accepted_cache_miss,0,0,3309,0,0,domain=SYNERGY_BLOCK_V1; policy checks + transcript hash + bounded worker + primitive
local-1786748198143003000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,verify_cache_hit,large16384,16384,0,1,36541,37000,48054272,true,accepted_cache_hit,0,0,3309,0,0,domain=SYNERGY_BLOCK_V1; policy checks + transcript hash + positive cache
local-1786748198143003000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,aegis_domain_wrapper,ML-DSA-65,verify_tampered_signature,large16384,16384,0,0,189584,193000,48054272,true,rejected,0,0,3309,0,0,domain=SYNERGY_BLOCK_V1
local-1786748198143003000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,sign_domain,digest32,32,0,1,160708,162000,48054272,true,domain_signature_generated,0,0,3309,0,0,domain=SYNERGY_TX_V1
local-1786748198143003000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,verify_cache_miss,digest32,32,0,1,130125,135000,48054272,true,accepted_cache_miss,0,0,3309,0,0,domain=SYNERGY_TX_V1; policy checks + transcript hash + bounded worker + primitive
local-1786748198143003000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,verify_cache_hit,digest32,32,0,1,12583,11000,48054272,true,accepted_cache_hit,0,0,3309,0,0,domain=SYNERGY_TX_V1; policy checks + transcript hash + positive cache
local-1786748198143003000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,aegis_domain_wrapper,ML-DSA-65,verify_tampered_signature,digest32,32,0,0,145583,145000,48054272,true,rejected,0,0,3309,0,0,domain=SYNERGY_TX_V1
