classification,environment_id,source_commit,suite,layer,algorithm,operation,payload_profile,message_bytes,n,valid_n,valid_fraction,mean_wall_ns,median_wall_ns,stdev_wall_ns,cv_wall,min_wall_ns,p50_wall_ns,p90_wall_ns,p95_wall_ns,p99_wall_ns,max_wall_ns,median_ci95_low_ns,median_ci95_high_ns,mean_cpu_ns,experiment,environment,workload,sample_count,mean_us,median_us,stddev_us,p90_us,p95_us,p99_us,total_work_units,throughput_ops_per_second,ops_per_sec,cpu_percent,mad_outlier_count,outlier_policy,max_rss_bytes,memory_mb,network_bytes,throughput_tps,result_type,public_key_bytes,private_key_bytes,signature_bytes_min,signature_bytes_median,signature_bytes_max,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,item_count,results
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_hit,digest32,32,500,500,1.0,7503.436,7458.0,725.3160501804015,0.09666452145129265,7208.0,7458.0,7542.0,7584.0,11584.83,16584.0,7458.0,7459.0,7766.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,digest32,500,7.503436,7.458,0.7253160501804015,7.542,7.584,11.58483,500,133272.27686089414,133272.27686089414,103.49925021017039,8,retained_all_samples,47136768,47.136768,,,MEASURED,,,3309,3309.0,3309,,,,,,,accepted_cache_hit
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_hit,kilobyte1024,1024,500,500,1.0,8822.412,8458.0,2594.7370693722223,0.2941074469626019,8333.0,8458.0,9209.0,9550.299999999992,13210.089999999998,56083.0,8417.0,8458.0,8992.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,kilobyte1024,500,8.822412,8.458,2.5947370693722225,9.209,9.550299999999991,13.210089999999997,500,113347.6876845017,113347.6876845017,101.92224076590392,75,retained_all_samples,47316992,47.316992,,,MEASURED,,,3309,3309.0,3309,,,,,,,accepted_cache_hit
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_hit,large16384,16384,500,500,1.0,27723.882,26958.0,2848.8242429483817,0.10275704690087707,26500.0,26958.0,28333.0,31256.249999999993,37226.069999999985,58458.0,26917.0,27041.5,27874.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,large16384,500,27.723882,26.958,2.8488242429483814,28.333,31.256249999999994,37.226069999999986,500,36069.984715704675,36069.984715704675,100.54147539655523,53,retained_all_samples,47513600,47.5136,,,MEASURED,,,3309,3309.0,3309,,,,,,,accepted_cache_hit
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_hit,medium256,256,500,500,1.0,7589.594,7500.0,659.3615248138229,0.0868770483393213,7375.0,7500.0,7584.0,7625.0,10712.999999999996,15667.0,7500.0,7500.0,7874.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,medium256,500,7.589594,7.5,0.6593615248138229,7.584,7.625,10.712999999999996,500,131759.35366239617,131759.35366239617,103.74731507377075,8,retained_all_samples,47284224,47.284224,,,MEASURED,,,3309,3309.0,3309,,,,,,,accepted_cache_hit
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_hit,small128,128,500,500,1.0,8014.94,7583.0,2909.8660369690924,0.36305524894373414,7333.0,7583.0,8092.200000000002,10215.199999999993,12209.249999999998,64459.0,7583.0,7584.0,8178.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,small128,500,8.01494,7.583,2.9098660369690923,8.092200000000002,10.215199999999994,12.209249999999999,500,124766.99763192238,124766.99763192238,102.03445066338612,84,retained_all_samples,47202304,47.202304,,,MEASURED,,,3309,3309.0,3309,,,,,,,accepted_cache_hit
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_hit,small64,64,500,500,1.0,7389.256,7292.0,515.4603235500368,0.06975808167290953,7166.0,7292.0,7500.0,7542.0,8000.829999999999,16792.0,7292.0,7333.0,7604.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,small64,500,7.3892560000000005,7.292,0.5154603235500368,7.5,7.542,8.000829999999999,500,135331.62201986235,135331.62201986235,102.90616538390334,38,retained_all_samples,47202304,47.202304,,,MEASURED,,,3309,3309.0,3309,,,,,,,accepted_cache_hit
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_hit,transaction512,512,500,500,1.0,8054.422,7875.0,925.5696138790818,0.11491446734217325,7750.0,7875.0,8250.0,8625.0,11261.249999999989,19917.0,7875.0,7875.0,8314.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,transaction512,500,8.054421999999999,7.875,0.9255696138790818,8.25,8.625,11.26124999999999,500,124155.40184013204,124155.40184013204,103.22280108988578,62,retained_all_samples,47284224,47.284224,,,MEASURED,,,3309,3309.0,3309,,,,,,,accepted_cache_hit
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_hit,vote192,192,500,500,1.0,7717.262,7500.0,829.5923168522962,0.1074982703518808,7292.0,7500.0,8041.1,9006.249999999995,10793.669999999998,16417.0,7500.0,7500.0,7992.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,vote192,500,7.717262,7.5,0.8295923168522962,8.0411,9.006249999999994,10.793669999999999,500,129579.63588640635,129579.63588640635,103.56004500041595,57,retained_all_samples,47267840,47.26784,,,MEASURED,,,3309,3309.0,3309,,,,,,,accepted_cache_hit
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,block4096,4096,500,500,1.0,146108.478,143833.5,10937.365144591648,0.07485784051895775,131417.0,143833.5,157383.3,164408.29999999996,189828.65999999997,234875.0,143167.0,144625.0,148812.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,block4096,500,146.108478,143.8335,10.937365144591647,157.3833,164.40829999999997,189.82865999999999,500,6844.22980574748,6844.22980574748,101.8503525852894,15,retained_all_samples,47366144,47.366144,,,MEASURED,,,3309,3309.0,3309,,,,,,,accepted_cache_miss
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,digest32,32,500,500,1.0,127428.508,125396.0,10880.621899126883,0.08538608879519238,113375.0,125396.0,139020.80000000002,146853.84999999998,170116.74999999997,206125.0,124708.5,126166.5125,130160.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,digest32,500,127.42850800000001,125.396,10.880621899126883,139.0208,146.85384999999997,170.11674999999997,500,7847.537538460389,7847.537538460389,102.14354860060043,17,retained_all_samples,47120384,47.120384,,,MEASURED,,,3309,3309.0,3309,,,,,,,accepted_cache_miss
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,kilobyte1024,1024,500,500,1.0,131238.874,129208.5,10002.118894258043,0.07621308069328636,117333.0,129208.5,142708.0,149424.35,171708.49999999997,193500.0,128583.0,130000.0,133988.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,kilobyte1024,500,131.238874,129.2085,10.002118894258043,142.708,149.42435,171.70849999999996,500,7619.693536840312,7619.693536840312,102.09474976141597,17,retained_all_samples,47316992,47.316992,,,MEASURED,,,3309,3309.0,3309,,,,,,,accepted_cache_miss
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,large16384,16384,500,500,1.0,203341.924,200062.5,11780.786032575017,0.05793584422155373,186667.0,200062.5,219704.5,226919.05,248518.83999999994,263333.0,199292.0,201041.025,206040.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,large16384,500,203.341924,200.0625,11.780786032575017,219.7045,226.91905,248.51883999999993,500,4917.825012809459,4917.825012809459,101.32686656392609,28,retained_all_samples,47513600,47.5136,,,MEASURED,,,3309,3309.0,3309,,,,,,,accepted_cache_miss
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,medium256,256,500,500,1.0,127061.934,125750.0,9831.415059786643,0.07737498360277315,115792.0,125750.0,135879.10000000003,142045.19999999998,158589.25,244875.0,125020.5,126459.0,129858.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,medium256,500,127.061934,125.75,9.831415059786643,135.87910000000002,142.0452,158.58925,500,7870.177704047855,7870.177704047855,102.20055362922463,12,retained_all_samples,47284224,47.284224,,,MEASURED,,,3309,3309.0,3309,,,,,,,accepted_cache_miss
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,small128,128,500,500,1.0,126641.264,124916.0,8837.69244303848,0.06978525137776957,112667.0,124916.0,135962.2,142556.59999999998,160783.74999999997,179834.0,124375.0,125625.0,129336.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,small128,500,126.64126399999999,124.916,8.837692443038481,135.96220000000002,142.55659999999997,160.78374999999997,500,7896.320428387386,7896.320428387386,102.12784989259109,14,retained_all_samples,47202304,47.202304,,,MEASURED,,,3309,3309.0,3309,,,,,,,accepted_cache_miss
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,small64,64,500,500,1.0,127511.942,124959.0,11493.671857338033,0.09013800336707313,113708.0,124959.0,138182.7,145964.3,181186.4899999999,206833.0,123958.0,125958.5125,130188.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,small64,500,127.51194199999999,124.959,11.493671857338033,138.1827,145.96429999999998,181.1864899999999,500,7842.402713935609,7842.402713935609,102.09867245218491,18,retained_all_samples,47202304,47.202304,,,MEASURED,,,3309,3309.0,3309,,,,,,,accepted_cache_miss
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,transaction512,512,500,500,1.0,128446.436,126333.5,9558.790193629928,0.07441849296332308,116000.0,126333.5,139220.5,146631.25,167592.33,191833.0,125666.0,127333.5,131934.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,transaction512,500,128.446436,126.3335,9.558790193629928,139.2205,146.63125,167.59232999999998,500,7785.346414749881,7785.346414749881,102.71518938836108,18,retained_all_samples,47284224,47.284224,,,MEASURED,,,3309,3309.0,3309,,,,,,,accepted_cache_miss
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,vote192,192,500,500,1.0,126307.75,124666.5,8180.290430942482,0.06476475458507085,114583.0,124666.5,136337.2,142057.69999999998,152960.66,190916.0,124061.975,125229.5,129180.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,vote192,500,126.30775,124.6665,8.180290430942483,136.33720000000002,142.05769999999998,152.96066,500,7917.1705615847,7917.1705615847,102.27400931455118,14,retained_all_samples,47267840,47.26784,,,MEASURED,,,3309,3309.0,3309,,,,,,,accepted_cache_miss
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,sign_domain,block4096,4096,500,500,1.0,6142719.512,6070271.0,549596.1445528348,0.08947114441399791,5916458.0,6070271.0,6196008.0,6335498.55,6841744.259999998,12327583.0,6062303.6625,6077291.5,6119600.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,block4096,500,6142.719512,6070.271,549.5961445528347,6196.008,6335.49855,6841.744259999998,500,162.79434508550617,162.79434508550617,99.62362741852635,28,retained_all_samples,48037888,48.037888,,,MEASURED,,,1263,1271.0,1278,,,,,,,domain_signature_generated
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,sign_domain,digest32,32,500,500,1.0,6110372.84,6047687.5,533484.9302287899,0.0873080815521545,5886333.0,6047687.5,6155037.2,6198727.1,6460149.58,12062291.0,6040458.0,6055312.0,6088520.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,digest32,500,6110.37284,6047.6875,533.48493022879,6155.0372,6198.7271,6460.14958,500,163.6561346066732,163.6561346066732,99.64236486754218,16,retained_all_samples,47972352,47.972352,,,MEASURED,,,1262,1271.0,1278,,,,,,,domain_signature_generated
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,sign_domain,kilobyte1024,1024,500,500,1.0,6081239.496,6060645.5,284615.99821304425,0.04680230048500038,5898583.0,6060645.5,6158558.3,6182962.85,6327774.76,12228500.0,6053229.0,6068042.0,6061480.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,kilobyte1024,500,6081.239496,6060.6455,284.61599821304424,6158.5583,6182.96285,6327.774759999999,500,164.4401607037119,164.4401607037119,99.67507453023356,6,retained_all_samples,48037888,48.037888,,,MEASURED,,,1260,1271.0,1278,,,,,,,domain_signature_generated
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,sign_domain,large16384,16384,500,500,1.0,6141393.136,6106875.0,394410.6731650432,0.06422169439911966,5962791.0,6106875.0,6200142.0,6224467.3,6361717.08,12309458.0,6100354.0,6114962.7,6120890.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,large16384,500,6141.393136,6106.875,394.4106731650432,6200.142,6224.4673,6361.71708,500,162.8295042924606,162.8295042924606,99.66614845286792,11,retained_all_samples,48037888,48.037888,,,MEASURED,,,1263,1271.0,1278,,,,,,,domain_signature_generated
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,sign_domain,medium256,256,500,500,1.0,6240070.516,6051833.5,1881025.4553261877,0.3014429805725913,5901583.0,6051833.5,6174371.1,6272027.399999999,11943044.92,44836083.0,6046542.0,6061395.5,6133180.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,medium256,500,6240.070516,6051.8335,1881.0254553261877,6174.371099999999,6272.027399999999,11943.04492,500,160.25459927671113,160.25459927671113,98.28703031919392,26,retained_all_samples,48005120,48.00512,,,MEASURED,,,1262,1271.0,1278,,,,,,,domain_signature_generated
