classification,suite,layer,algorithm,operation,payload_profile,message_bytes,n,valid_n,valid_fraction,mean_wall_ns,median_wall_ns,stdev_wall_ns,cv_wall,min_wall_ns,p50_wall_ns,p90_wall_ns,p95_wall_ns,p99_wall_ns,max_wall_ns,median_ci95_low_ns,median_ci95_high_ns,mean_cpu_ns,total_work_units,throughput_ops_per_second,mad_outlier_count,outlier_policy,max_rss_bytes,public_key_bytes,private_key_bytes,signature_bytes_min,signature_bytes_median,signature_bytes_max,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,item_count,results
MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_hit,transaction512,512,1,1,1.0,11667.0,11667.0,0.0,0.0,11667.0,11667.0,11667.0,11667.0,11667.0,11667.0,11667.0,11667.0,12000.0,1,85711.83680466273,0,retained_all_samples,48775168,0,0,3309,3309,3309,0,0,0,0,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_hit,vote192,192,1,1,1.0,11000.0,11000.0,0.0,0.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,1,90909.09090909091,0,retained_all_samples,48758784,0,0,3309,3309,3309,0,0,0,0,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,block4096,4096,1,1,1.0,172625.0,172625.0,0.0,0.0,172625.0,172625.0,172625.0,172625.0,172625.0,172625.0,172625.0,172625.0,160000.0,1,5792.903692976104,0,retained_all_samples,48824320,0,0,3309,3309,3309,0,0,0,0,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,digest32,32,1,1,1.0,150500.0,150500.0,0.0,0.0,150500.0,150500.0,150500.0,150500.0,150500.0,150500.0,150500.0,150500.0,155000.0,1,6644.518272425249,0,retained_all_samples,48709632,0,0,3309,3309,3309,0,0,0,0,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,kilobyte1024,1024,1,1,1.0,121125.0,121125.0,0.0,0.0,121125.0,121125.0,121125.0,121125.0,121125.0,121125.0,121125.0,121125.0,125000.0,1,8255.93395252838,0,retained_all_samples,48791552,0,0,3309,3309,3309,0,0,0,0,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,large16384,16384,1,1,1.0,207459.0,207459.0,0.0,0.0,207459.0,207459.0,207459.0,207459.0,207459.0,207459.0,207459.0,207459.0,212000.0,1,4820.229539330663,0,retained_all_samples,48922624,0,0,3309,3309,3309,0,0,0,0,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,medium256,256,1,1,1.0,122459.0,122459.0,0.0,0.0,122459.0,122459.0,122459.0,122459.0,122459.0,122459.0,122459.0,122459.0,126000.0,1,8165.998415796307,0,retained_all_samples,48775168,0,0,3309,3309,3309,0,0,0,0,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,small128,128,1,1,1.0,125416.0,125416.0,0.0,0.0,125416.0,125416.0,125416.0,125416.0,125416.0,125416.0,125416.0,125416.0,132000.0,1,7973.464310773745,0,retained_all_samples,48742400,0,0,3309,3309,3309,0,0,0,0,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,small64,64,1,1,1.0,130042.0,130042.0,0.0,0.0,130042.0,130042.0,130042.0,130042.0,130042.0,130042.0,130042.0,130042.0,127000.0,1,7689.823287860845,0,retained_all_samples,48742400,0,0,3309,3309,3309,0,0,0,0,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,transaction512,512,1,1,1.0,133208.0,133208.0,0.0,0.0,133208.0,133208.0,133208.0,133208.0,133208.0,133208.0,133208.0,133208.0,143000.0,1,7507.056633235241,0,retained_all_samples,48775168,0,0,3309,3309,3309,0,0,0,0,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,vote192,192,1,1,1.0,119291.0,119291.0,0.0,0.0,119291.0,119291.0,119291.0,119291.0,119291.0,119291.0,119291.0,119291.0,126000.0,1,8382.86207677025,0,retained_all_samples,48758784,0,0,3309,3309,3309,0,0,0,0,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,sign_domain,block4096,4096,1,1,1.0,6313042.0,6313042.0,0.0,0.0,6313042.0,6313042.0,6313042.0,6313042.0,6313042.0,6313042.0,6313042.0,6313042.0,6299000.0,1,158.40224094818313,0,retained_all_samples,49233920,0,0,1274,1274,1274,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_p2p,FN-DSA-1024,sign_domain,digest32,32,1,1,1.0,6710958.0,6710958.0,0.0,0.0,6710958.0,6710958.0,6710958.0,6710958.0,6710958.0,6710958.0,6710958.0,6710958.0,6592000.0,1,149.0100221160675,0,retained_all_samples,49233920,0,0,1266,1266,1266,0,0,0,0,0,0,domain_signature_generated
