classification,environment_id,source_commit,suite,layer,algorithm,operation,payload_profile,message_bytes,n,valid_n,valid_fraction,mean_wall_ns,median_wall_ns,stdev_wall_ns,cv_wall,min_wall_ns,p50_wall_ns,p90_wall_ns,p95_wall_ns,p99_wall_ns,max_wall_ns,median_ci95_low_ns,median_ci95_high_ns,mean_cpu_ns,experiment,environment,workload,sample_count,mean_us,median_us,stddev_us,p90_us,p95_us,p99_us,total_work_units,throughput_ops_per_second,ops_per_sec,cpu_percent,mad_outlier_count,outlier_policy,max_rss_bytes,memory_mb,network_bytes,throughput_tps,result_type,public_key_bytes,private_key_bytes,signature_bytes_min,signature_bytes_median,signature_bytes_max,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,item_count,results
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers2_concurrency16,512,100,100,1.0,2719382.56,2343208.5,2802448.687169787,1.0305459512727724,1598750.0,2343208.5,3225300.0,3318667.3,4643241.250000131,29974000.0,2216333.0,2490187.5,4677320.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,workers2_concurrency16,100,2719.38256,2343.2085,2802.448687169787,3225.3,3318.6672999999996,4643.241250000131,1600,5883.688538474705,5883.688538474705,171.99933796736565,2,retained_all_samples,9175040,9.17504,,,MEASURED,,,3309,3309.0,3309,,,,,,16,accepted=16;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers2_concurrency2,512,100,100,1.0,198178.77,194479.0,20822.97993687782,0.10507169833013809,168667.0,194479.0,223233.0,233264.55,279233.0,281708.0,190188.0,198583.0,346610.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,workers2_concurrency2,100,198.17877,194.479,20.822979936877818,223.233,233.26454999999999,279.233,200,10091.898340069423,10091.898340069423,174.89764418257315,3,retained_all_samples,8011776,8.011776,,,MEASURED,,,3309,3309.0,3309,,,,,,2,accepted=2;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers2_concurrency4,512,100,100,1.0,361315.32,355916.5,32952.38661545081,0.09120118852267545,313667.0,355916.5,401300.0,410389.25,440001.16000000056,547333.0,349519.4375,363041.0,766870.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,workers2_concurrency4,100,361.31532,355.9165,32.952386615450806,401.3,410.38925,440.00116000000054,400,11070.66260019088,11070.66260019088,212.24397570520952,1,retained_all_samples,8159232,8.159232,,,MEASURED,,,3309,3309.0,3309,,,,,,4,accepted=4;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers2_concurrency64,512,100,100,1.0,15987884.65,15954541.5,932097.6047198232,0.05830024578766417,12788709.0,15954541.5,17167808.6,17342214.6,17577074.580000002,18166083.0,15845292.0,16163083.0,25483180.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,workers2_concurrency64,100,15987.88465,15954.5415,932.0976047198233,17167.8086,17342.214600000003,17577.07458,6400,4003.031132702099,4003.031132702099,159.39056703164292,6,retained_all_samples,11386880,11.38688,,,MEASURED,,,3309,3309.0,3309,,,,,,64,accepted=64;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers2_concurrency65,512,100,100,1.0,16296854.16,16241916.5,448798.1784759917,0.02753894549645965,15555708.0,16241916.5,16945188.1,17078629.5,17309669.580000002,17351208.0,16088562.5,16348520.5,25809240.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,workers2_concurrency65,100,16296.85416,16241.9165,448.79817847599173,16945.188100000003,17078.6295,17309.66958,6500,3988.499827134736,3988.499827134736,158.3694604284291,0,retained_all_samples,11599872,11.599872,,,MEASURED,,,3309,3309.0,3309,,,,,,65,accepted=65;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers2_concurrency8,512,100,100,1.0,743759.65,715375.5,97699.53648136844,0.1313590169638383,606042.0,715375.5,888817.3,916793.45,982624.0800000004,1065000.0,688792.0,761166.5,1877380.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,workers2_concurrency8,100,743.7596500000001,715.3755,97.69953648136844,888.8173,916.79345,982.6240800000004,800,10756.16296205367,10756.16296205367,252.41756527125398,1,retained_all_samples,8503296,8.503296,,,MEASURED,,,3309,3309.0,3309,,,,,,8,accepted=8;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency1,512,100,100,1.0,187828.73,171521.0,49998.68361799563,0.26619294938530236,142333.0,171521.0,251007.7,308819.3999999999,379511.67,380667.0,165479.0,175772.0375,192620.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,workers4_concurrency1,100,187.82873,171.521,49.99868361799563,251.0077,308.8193999999999,379.51167,100,5323.999156039654,5323.999156039654,102.55087174363582,11,retained_all_samples,8126464,8.126464,,,MEASURED,,,3309,3309.0,3309,,,,,,1,accepted=1;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency128,512,100,100,1.0,20634145.44,18890229.5,9138714.087279664,0.4428927824441885,17790458.0,18890229.5,22185999.400000002,23418702.399999995,35077209.91000038,107351458.0,18701417.0,19210198.437499996,32407080.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,workers4_concurrency128,100,20634.14544,18890.2295,9138.714087279664,22185.9994,23418.702399999995,35077.209910000376,6560,3179.1963563866398,3179.1963563866398,157.0555955139182,10,retained_all_samples,13139968,13.139968,,,MEASURED,,,3309,3309.0,3309,,,,,,128,accepted=64;saturated=64;unexpected=0;accepted=65;saturated=63;unexpected=0;accepted=66;saturated=62;unexpected=0;accepted=67;saturated=61;unexpected=0;accepted=68;saturated=60;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency16,512,100,100,1.0,2578119.99,2535021.0,567212.5665073799,0.22001015030622365,1709583.0,2535021.0,3358875.6,3595428.5,3875921.670000003,4511667.0,2393895.5,2629083.0,4965720.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,workers4_concurrency16,100,2578.11999,2535.021,567.2125665073798,3358.8756000000003,3595.4285,3875.9216700000034,1600,6206.072666152361,6206.072666152361,192.61011974853815,1,retained_all_samples,9388032,9.388032,,,MEASURED,,,3309,3309.0,3309,,,,,,16,accepted=16;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency2,512,100,100,1.0,218322.94,201729.5,51587.513587473644,0.2362899363093665,175875.0,201729.5,254928.8000000001,332132.9999999999,435971.17000000004,441334.0,199372.4125,207250.0,377830.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,workers4_concurrency2,100,218.32294,201.7295,51.587513587473644,254.9288000000001,332.13299999999987,435.97117000000003,200,9160.741422774903,9160.741422774903,173.0601465883521,10,retained_all_samples,8241152,8.241152,,,MEASURED,,,3309,3309.0,3309,,,,,,2,accepted=2;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency4,512,100,100,1.0,298653.69,291458.0,41627.85275999688,0.13938502738739603,244292.0,291458.0,328928.6000000001,366887.8,467401.7500000003,523708.0,286788.8625,296509.89999999997,764660.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,workers4_concurrency4,100,298.65369,291.458,41.62785275999688,328.9286000000001,366.88779999999997,467.4017500000003,400,13393.439069847085,13393.439069847085,256.0356779787318,5,retained_all_samples,8388608,8.388608,,,MEASURED,,,3309,3309.0,3309,,,,,,4,accepted=4;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency64,512,100,100,1.0,16433527.95,16534958.5,1050212.9238807764,0.06390672332052573,12893333.0,16534958.5,17465378.9,17841776.8,18217157.830000002,18575125.0,16419959.0,16692104.5,26579330.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,workers4_concurrency64,100,16433.52795,16534.9585,1050.2129238807763,17465.3789,17841.7768,18217.157830000004,6400,3894.477205060524,3894.477205060524,161.73842939184584,5,retained_all_samples,11714560,11.71456,,,MEASURED,,,3309,3309.0,3309,,,,,,64,accepted=64;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency65,512,100,100,1.0,18563147.43,17542104.5,6261245.1577214375,0.337294372160327,15989708.0,17542104.5,19514225.0,21284355.599999998,34927845.74000022,76488416.0,17281313.0,17780000.0,28206490.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,workers4_concurrency65,100,18563.14743,17542.1045,6261.245157721438,19514.225,21284.3556,34927.845740000215,6500,3501.561372881905,3501.561372881905,151.9488551516611,5,retained_all_samples,11894784,11.894784,,,MEASURED,,,3309,3309.0,3309,,,,,,65,accepted=65;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency8,512,100,100,1.0,752132.95,754979.5,101035.84330459266,0.1343324252774628,563042.0,754979.5,875729.2000000001,912650.2999999999,945441.99,947916.0,731917.0,777187.5,1780360.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,workers4_concurrency8,100,752.1329499999999,754.9795,101.03584330459266,875.7292000000001,912.6502999999999,945.44199,800,10636.417404662301,10636.417404662301,236.7081511320572,0,retained_all_samples,8716288,8.716288,,,MEASURED,,,3309,3309.0,3309,,,,,,8,accepted=8;saturated=0;unexpected=0
