classification,suite,layer,algorithm,operation,payload_profile,message_bytes,n,valid_n,valid_fraction,mean_wall_ns,median_wall_ns,stdev_wall_ns,cv_wall,min_wall_ns,p50_wall_ns,p90_wall_ns,p95_wall_ns,p99_wall_ns,max_wall_ns,median_ci95_low_ns,median_ci95_high_ns,mean_cpu_ns,total_work_units,throughput_ops_per_second,mad_outlier_count,outlier_policy,max_rss_bytes,public_key_bytes,private_key_bytes,signature_bytes_min,signature_bytes_median,signature_bytes_max,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,item_count,results
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_malformed_public_key,vote192,192,1,1,1.0,30000.0,30000.0,0.0,0.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,1,33333.333333333336,0,retained_all_samples,9863168,1951,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_modified_payload,block4096,4096,1,1,1.0,246042.0,246042.0,0.0,0.0,246042.0,246042.0,246042.0,246042.0,246042.0,246042.0,246042.0,246042.0,248000.0,1,4064.346737548874,0,retained_all_samples,10420224,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_modified_payload,digest32,32,1,1,1.0,175209.0,175209.0,0.0,0.0,175209.0,175209.0,175209.0,175209.0,175209.0,175209.0,175209.0,175209.0,178000.0,1,5707.469365158183,0,retained_all_samples,9650176,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_modified_payload,kilobyte1024,1024,1,1,1.0,168500.0,168500.0,0.0,0.0,168500.0,168500.0,168500.0,168500.0,168500.0,168500.0,168500.0,168500.0,170000.0,1,5934.718100890208,0,retained_all_samples,10190848,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_modified_payload,large16384,16384,1,1,1.0,518584.0,518584.0,0.0,0.0,518584.0,518584.0,518584.0,518584.0,518584.0,518584.0,518584.0,518584.0,521000.0,1,1928.3279083041514,0,retained_all_samples,11206656,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_modified_payload,medium256,256,1,1,1.0,158750.0,158750.0,0.0,0.0,158750.0,158750.0,158750.0,158750.0,158750.0,158750.0,158750.0,158750.0,162000.0,1,6299.212598425197,0,retained_all_samples,9945088,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_modified_payload,small128,128,1,1,1.0,178500.0,178500.0,0.0,0.0,178500.0,178500.0,178500.0,178500.0,178500.0,178500.0,178500.0,178500.0,182000.0,1,5602.240896358543,0,retained_all_samples,9797632,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_modified_payload,small64,64,1,1,1.0,175958.0,175958.0,0.0,0.0,175958.0,175958.0,175958.0,175958.0,175958.0,175958.0,175958.0,175958.0,180000.0,1,5683.174393889451,0,retained_all_samples,9715712,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_modified_payload,transaction512,512,1,1,1.0,154792.0,154792.0,0.0,0.0,154792.0,154792.0,154792.0,154792.0,154792.0,154792.0,154792.0,154792.0,157000.0,1,6460.282185125846,0,retained_all_samples,10027008,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_modified_payload,vote192,192,1,1,1.0,169834.0,169834.0,0.0,0.0,169834.0,169834.0,169834.0,169834.0,169834.0,169834.0,169834.0,169834.0,172000.0,1,5888.102500088322,0,retained_all_samples,9863168,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_unknown_algorithm,block4096,4096,1,1,1.0,40917.0,40917.0,0.0,0.0,40917.0,40917.0,40917.0,40917.0,40917.0,40917.0,40917.0,40917.0,41000.0,1,24439.71943202092,0,retained_all_samples,10420224,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_unknown_algorithm,digest32,32,1,1,1.0,32458.0,32458.0,0.0,0.0,32458.0,32458.0,32458.0,32458.0,32458.0,32458.0,32458.0,32458.0,34000.0,1,30809.045535769303,0,retained_all_samples,9666560,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_unknown_algorithm,kilobyte1024,1024,1,1,1.0,30250.0,30250.0,0.0,0.0,30250.0,30250.0,30250.0,30250.0,30250.0,30250.0,30250.0,30250.0,31000.0,1,33057.85123966942,0,retained_all_samples,10190848,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_unknown_algorithm,large16384,16384,1,1,1.0,109542.0,109542.0,0.0,0.0,109542.0,109542.0,109542.0,109542.0,109542.0,109542.0,109542.0,109542.0,106000.0,1,9128.91858830403,0,retained_all_samples,11206656,1952,,3309,3309,3309,,,,,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_unknown_algorithm,medium256,256,1,1,1.0,27000.0,27000.0,0.0,0.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,1,37037.03703703704,0,retained_all_samples,9945088,1952,,3309,3309,3309,,,,,,1,rejected
