run_id,environment_id,source_commit,classification,suite,layer,algorithm,operation,payload_profile,message_bytes,iteration,warmup_iterations,wall_ns,cpu_ns,max_rss_bytes,valid,result,public_key_bytes,private_key_bytes,signature_bytes,ciphertext_bytes,shared_secret_bytes,notes
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,sign,large16384,16384,0,1,454125,455000,6717440,true,signature_generated,1952,4032,3309,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,verify_valid,large16384,16384,0,1,225917,227000,6733824,true,accepted,1952,4032,3309,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,ML-DSA-65,verify_tampered_signature,large16384,16384,0,0,226834,228000,6750208,true,rejected,1952,0,3309,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-87,keygen,none,0,0,1,241750,242000,6864896,true,keypair_generated,2592,4896,0,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-87,sign,digest32,32,0,1,457459,459000,6963200,true,signature_generated,2592,4896,4627,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-87,verify_valid,digest32,32,0,1,236083,241000,6963200,true,accepted,2592,4896,4627,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,ML-DSA-87,verify_tampered_signature,digest32,32,0,0,219042,219000,6963200,true,rejected,2592,0,4627,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-87,sign,small64,64,0,1,404208,405000,6963200,true,signature_generated,2592,4896,4627,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-87,verify_valid,small64,64,0,1,225958,226000,6963200,true,accepted,2592,4896,4627,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,ML-DSA-87,verify_tampered_signature,small64,64,0,0,220417,221000,6979584,true,rejected,2592,0,4627,0,0,
